TABLE NO.     5: MCMC Bayesian Analysis: Goal Function=AVERAGE VALUE OF LIKELIHOOD FUNCTION: Problem=1 Subproblem=0 Superproblem1=0 Iteration1=0 Superproblem2=0 Iteration2=0
 ITERATION    THETA1       THETA2       THETA3       THETA4       THETA5       THETA6       THETA7       THETA8       THETA9       THETA10      THETA11      SIGMA(1,1)   OMEGA(1,1)   OMEGA(2,1)   OMEGA(2,2)   OMEGA(3,1)   OMEGA(3,2)   OMEGA(3,3)   OMEGA(4,1)   OMEGA(4,2)   OMEGA(4,3)   OMEGA(4,4)   MCMCOBJ
        -9606  3.32829E+00  3.24760E+00 -6.20402E-01 -2.03916E-01  7.33471E-01  1.17580E+00  3.35279E-01  1.85143E-01  6.89762E-01  2.29308E+00 -1.03108E-01  1.00000E+00  1.01384E-02  2.32373E-04  7.53596E-03  1.59646E-03 -9.16047E-04  8.79178E-03 -4.98298E-04 -1.29453E-03  5.19282E-04  1.05427E-02   -19202.5109025552
        -9605  3.34977E+00  3.27086E+00 -6.21727E-01 -2.13418E-01  7.04708E-01  1.14320E+00  3.44515E-01  1.93992E-01  6.90947E-01  2.29746E+00 -1.03108E-01  1.00000E+00  9.73591E-03  2.34997E-04  7.49181E-03  1.35662E-03 -1.97077E-03  9.01423E-03 -1.10738E-03 -2.15795E-03  1.09667E-03  9.68898E-03   -19255.8236819581
        -9604  3.33585E+00  3.20401E+00 -6.19837E-01 -1.93619E-01  7.09882E-01  1.10907E+00  3.40787E-01  2.04730E-01  6.86022E-01  2.29720E+00 -1.03306E-01  1.00000E+00  9.49976E-03  4.58406E-04  7.78913E-03  9.25147E-04 -1.43651E-03  9.66250E-03 -1.28594E-03 -1.56880E-03  1.05652E-03  9.23180E-03   -19162.9082284722
        -9603  3.30732E+00  3.26063E+00 -6.15239E-01 -2.07992E-01  7.30970E-01  1.13922E+00  3.36155E-01  1.96995E-01  6.82381E-01  2.30224E+00 -1.03906E-01  1.00000E+00  9.11546E-03  1.03172E-03  7.39398E-03  1.42025E-03 -5.49961E-04  9.59359E-03 -9.68851E-04 -9.85245E-04  6.18028E-05  8.31380E-03   -19155.6834319476
        -9602  3.26531E+00  3.24655E+00 -6.03173E-01 -2.02976E-01  6.83387E-01  1.12804E+00  3.52974E-01  1.98121E-01  6.99104E-01  2.30026E+00 -1.03687E-01  1.00000E+00  9.95928E-03  6.34001E-04  7.20463E-03  1.75951E-03 -1.89979E-04  9.16242E-03 -8.69771E-05 -2.41256E-04  8.13960E-04  7.92524E-03   -19093.1133802168
        -9601  3.29778E+00  3.22954E+00 -6.12384E-01 -2.02791E-01  7.14321E-01  1.12949E+00  3.41238E-01  1.96348E-01  6.97544E-01  2.30850E+00 -1.03745E-01  1.00000E+00  1.16394E-02 -4.06305E-05  7.13770E-03  1.60145E-03 -1.93967E-04  1.04668E-02  3.06801E-04  1.54755E-04  4.74132E-04  7.95127E-03   -19011.9342492559
        -9600  3.30071E+00  3.24590E+00 -6.09683E-01 -2.07021E-01  7.29478E-01  1.09687E+00  3.39407E-01  2.01902E-01  6.98257E-01  2.30715E+00 -1.01977E-01  1.00000E+00  1.00525E-02  6.78838E-05  7.75027E-03  2.17014E-03 -2.89847E-04  1.16264E-02 -2.50736E-04  5.00674E-05  1.39860E-03  8.43483E-03   -19014.5294708860
        -9599  3.33114E+00  3.20196E+00 -6.23632E-01 -1.96080E-01  7.24368E-01  1.13245E+00  3.42776E-01  1.92723E-01  6.88280E-01  2.29632E+00 -1.01977E-01  1.00000E+00  1.05056E-02  4.75456E-05  7.79651E-03  2.39290E-03  2.17525E-05  1.13627E-02  6.07569E-06  4.59995E-04  1.38509E-03  8.29217E-03   -19077.3986048580
        -9598  3.30918E+00  3.24496E+00 -6.12867E-01 -2.09370E-01  7.56430E-01  1.12125E+00  3.32331E-01  1.93890E-01  6.97332E-01  2.29834E+00 -1.01977E-01  1.00000E+00  1.12863E-02 -2.80440E-04  7.45193E-03  2.57644E-03 -2.78686E-04  1.15560E-02  2.16656E-04  1.38057E-03  1.97768E-03  8.82145E-03   -19109.8512691349
        -9597  3.27165E+00  3.22282E+00 -6.03676E-01 -2.00885E-01  6.95302E-01  1.16753E+00  3.43480E-01  1.81169E-01  6.88574E-01  2.29735E+00 -1.01977E-01  1.00000E+00  1.02774E-02 -7.55062E-04  7.33266E-03  1.16595E-03  3.53376E-04  9.39046E-03 -8.21918E-04  1.52876E-03  1.61109E-03  8.38707E-03   -19115.7824389433
        -9596  3.33193E+00  3.21644E+00 -6.18714E-01 -1.97414E-01  7.33185E-01  1.11757E+00  3.35026E-01  1.92324E-01  7.01476E-01  2.28823E+00 -1.01977E-01  1.00000E+00  1.04225E-02 -1.06283E-03  7.76535E-03  4.19003E-04  5.39995E-04  8.63885E-03 -2.22169E-03  1.74986E-03  1.02366E-03  1.07055E-02   -19284.2971263274
        -9595  3.31635E+00  3.21995E+00 -6.15118E-01 -1.95436E-01  7.79498E-01  1.12176E+00  3.24604E-01  1.93269E-01  6.99675E-01  2.30100E+00 -1.01834E-01  1.00000E+00  1.19528E-02 -4.30508E-04  6.76682E-03 -7.37744E-04  1.70094E-04  8.21003E-03 -2.00871E-03  1.50124E-03  9.01706E-04  9.53979E-03   -19264.6208735092
        -9594  3.32256E+00  3.24738E+00 -6.19307E-01 -2.10198E-01  7.23748E-01  1.13843E+00  3.40872E-01  1.86637E-01  6.94870E-01  2.29797E+00 -1.01834E-01  1.00000E+00  1.02899E-02 -6.34926E-04  6.90190E-03 -2.01432E-04  7.35072E-04  7.68274E-03 -8.44554E-04  1.50869E-03  1.59011E-03  9.22173E-03   -19194.0081723745
        -9593  3.30688E+00  3.24271E+00 -6.12433E-01 -2.02549E-01  7.18865E-01  1.14677E+00  3.38418E-01  1.84388E-01  6.90320E-01  2.30371E+00 -1.01834E-01  1.00000E+00  1.08412E-02 -6.13864E-05  6.87090E-03 -5.44074E-05 -4.24222E-05  7.40201E-03 -1.53039E-05  1.71859E-03  7.28921E-04  8.87334E-03   -19287.2716219778
        -9592  3.25880E+00  3.24740E+00 -5.99942E-01 -2.07276E-01  6.98947E-01  1.18027E+00  3.43560E-01  1.79488E-01  6.99016E-01  2.29545E+00 -1.01834E-01  1.00000E+00  1.08798E-02  4.89410E-04  6.95872E-03  1.39180E-04 -3.46017E-04  6.34006E-03 -1.09948E-03  2.00793E-03  4.96815E-04  1.03914E-02   -19179.8449901528
        -9591  3.27278E+00  3.29666E+00 -6.05525E-01 -2.21901E-01  7.09637E-01  1.17795E+00  3.43260E-01  1.78648E-01  6.98071E-01  2.31389E+00 -1.01834E-01  1.00000E+00  1.05097E-02  3.85616E-04  8.58834E-03  8.14547E-04 -3.29203E-04  6.69935E-03 -5.33407E-04  2.47198E-03  1.09038E-03  1.11738E-02   -19084.5001742107
        -9590  3.32597E+00  3.28925E+00 -6.18116E-01 -2.19745E-01  7.48886E-01  1.18199E+00  3.28884E-01  1.76446E-01  7.03052E-01  2.30241E+00 -1.03219E-01  1.00000E+00  1.02194E-02 -2.06449E-04  8.65377E-03  1.33165E-03 -8.92843E-04  7.37602E-03  4.87217E-04  2.14255E-03  1.13100E-03  9.71315E-03   -19074.2224306162
        -9589  3.30483E+00  3.29241E+00 -6.14145E-01 -2.20077E-01  7.30360E-01  1.22378E+00  3.35875E-01  1.66595E-01  7.01784E-01  2.30463E+00 -1.03667E-01  1.00000E+00  1.14896E-02  4.36233E-04  8.48516E-03  1.90090E-03  1.08428E-04  9.63212E-03 -1.19275E-06  1.48943E-03  2.33969E-03  9.40386E-03   -19022.8145487854
        -9588  3.27791E+00  3.28805E+00 -6.07373E-01 -2.22404E-01  7.46738E-01  1.19458E+00  3.30101E-01  1.75426E-01  7.02358E-01  2.30839E+00 -1.00363E-01  1.00000E+00  1.11660E-02  9.64225E-05  6.96721E-03  2.46321E-03 -2.52312E-04  1.04261E-02  3.86807E-04  7.31182E-04  2.62001E-03  9.75112E-03   -19003.6197430378
        -9587  3.25927E+00  3.27601E+00 -6.01142E-01 -2.16122E-01  7.61700E-01  1.18495E+00  3.26048E-01  1.78408E-01  6.96588E-01  2.30653E+00 -1.00363E-01  1.00000E+00  1.10068E-02  1.03721E-04  7.66910E-03  9.96292E-04  8.56856E-05  1.02677E-02 -6.80519E-04  4.36858E-04  2.20809E-03  1.02008E-02   -19061.5299187903
        -9586  3.31146E+00  3.26759E+00 -6.19017E-01 -2.14758E-01  6.99525E-01  1.16671E+00  3.47209E-01  1.82911E-01  6.90904E-01  2.29566E+00 -9.87875E-02  1.00000E+00  1.20105E-02 -3.09554E-04  6.76437E-03  1.51809E-03  3.23537E-04  9.27045E-03 -4.37886E-04  9.68943E-04  1.29277E-03  9.50802E-03   -19218.4306903396
        -9585  3.30969E+00  3.21001E+00 -6.12591E-01 -1.94664E-01  7.22990E-01  1.11702E+00  3.36630E-01  1.97037E-01  6.83150E-01  2.28970E+00 -9.93035E-02  1.00000E+00  1.04034E-02 -2.94135E-04  7.74010E-03  1.59976E-03  6.41143E-04  9.39518E-03 -4.19040E-04  1.03741E-03  9.06827E-04  9.04359E-03   -19191.5674129611
        -9584  3.36735E+00  3.27775E+00 -6.30038E-01 -2.15538E-01  8.10696E-01  1.12670E+00  3.15743E-01  1.95817E-01  6.93248E-01  2.29499E+00 -9.93035E-02  1.00000E+00  1.04639E-02  7.97071E-04  9.13148E-03  6.52165E-04  8.53884E-04  8.20847E-03 -1.37513E-03  9.67142E-04  1.20380E-03  8.55802E-03   -19342.6559816462
        -9583  3.36409E+00  3.23007E+00 -6.26231E-01 -2.05069E-01  7.99481E-01  1.11433E+00  3.19452E-01  1.99952E-01  6.86085E-01  2.29644E+00 -9.71484E-02  1.00000E+00  8.18828E-03  8.54414E-06  8.83549E-03  9.55814E-04  1.02170E-03  9.21621E-03  1.55666E-04  1.29647E-03  8.52301E-04  9.06831E-03   -19205.8441956215
        -9582  3.29836E+00  3.28294E+00 -6.10120E-01 -2.15823E-01  7.41902E-01  1.15632E+00  3.35678E-01  1.88343E-01  6.95088E-01  2.29654E+00 -1.00781E-01  1.00000E+00  1.05088E-02  5.40398E-05  9.77542E-03  7.97824E-04  1.53826E-03  9.31363E-03 -6.11695E-04  2.47517E-04  1.07544E-03  8.19487E-03   -19185.5690518793
        -9581  3.25455E+00  3.25819E+00 -5.99674E-01 -2.07907E-01  7.39989E-01  1.19886E+00  3.34354E-01  1.73008E-01  6.98725E-01  2.31080E+00 -1.00558E-01  1.00000E+00  1.11795E-02  3.88642E-05  1.03327E-02  1.47526E-03  1.11501E-03  9.41700E-03 -8.99915E-04  4.59497E-04  8.08842E-04  9.61431E-03   -19032.6183535215
        -9580  3.27711E+00  3.27207E+00 -6.02842E-01 -2.11184E-01  6.42165E-01  1.24177E+00  3.63226E-01  1.62297E-01  6.99169E-01  2.29941E+00 -1.00558E-01  1.00000E+00  1.01461E-02  1.64278E-04  1.02199E-02  1.49597E-03  4.71425E-04  9.86419E-03 -5.60741E-04  9.49802E-04  2.01874E-03  8.10534E-03   -19118.8562358520
        -9579  3.32034E+00  3.33881E+00 -6.18355E-01 -2.32275E-01  6.41098E-01  1.23957E+00  3.61322E-01  1.64696E-01  7.02651E-01  2.30769E+00 -1.01873E-01  1.00000E+00  9.65609E-03  6.43429E-05  7.30609E-03  1.51328E-03  8.70851E-05  1.10896E-02 -6.33453E-04  1.86958E-04  1.81211E-03  8.60662E-03   -19177.2469213188
        -9578  3.25352E+00  3.25467E+00 -6.00601E-01 -2.08133E-01  6.96372E-01  1.25890E+00  3.48422E-01  1.57880E-01  6.98481E-01  2.30723E+00 -1.03447E-01  1.00000E+00  1.02106E-02 -4.76628E-04  7.30646E-03  1.72194E-03 -7.40041E-04  1.14192E-02 -1.42726E-03  8.82053E-04  4.80655E-04  9.00384E-03   -19136.6035156891
        -9577  3.25473E+00  3.33779E+00 -6.01961E-01 -2.33361E-01  7.34237E-01  1.18760E+00  3.38275E-01  1.80668E-01  7.02863E-01  2.30979E+00 -1.03447E-01  1.00000E+00  1.00575E-02 -7.01534E-04  7.76861E-03  2.17187E-03 -1.41337E-03  1.09090E-02 -6.36783E-05 -4.77014E-05  1.21730E-03  8.67419E-03   -19039.0747269978
        -9576  3.30532E+00  3.27277E+00 -6.15727E-01 -2.15528E-01  6.87108E-01  1.18674E+00  3.49129E-01  1.79507E-01  7.07112E-01  2.30625E+00 -1.03447E-01  1.00000E+00  9.40926E-03  4.85959E-04  7.87680E-03  2.59402E-03 -4.41136E-04  1.07580E-02  1.61393E-04  4.58616E-04  2.27524E-03  9.89600E-03   -18955.1656378051
        -9575  3.28029E+00  3.25831E+00 -6.03687E-01 -2.11575E-01  6.83504E-01  1.21578E+00  3.50557E-01  1.71253E-01  6.94976E-01  2.30089E+00 -1.05020E-01  1.00000E+00  1.16829E-02  8.55790E-04  9.06852E-03  2.16569E-03 -7.65358E-04  9.88902E-03  2.19468E-04  3.19656E-04  2.84889E-03  1.09717E-02   -18978.6777822423
        -9574  3.33754E+00  3.26612E+00 -6.25749E-01 -2.10417E-01  7.43654E-01  1.19204E+00  3.33916E-01  1.77509E-01  7.06039E-01  2.31014E+00 -1.03135E-01  1.00000E+00  1.12878E-02  4.87906E-04  9.18768E-03  1.55432E-03  1.47689E-04  1.11402E-02 -5.52283E-04  6.80521E-04  2.89010E-03  1.08293E-02   -18972.4655912015
        -9573  3.28320E+00  3.31801E+00 -6.09102E-01 -2.27128E-01  7.15365E-01  1.18069E+00  3.41054E-01  1.74659E-01  7.12172E-01  2.30506E+00 -1.02207E-01  1.00000E+00  1.16529E-02  1.27315E-03  8.97589E-03  1.58564E-03 -4.22504E-05  1.39789E-02  1.23943E-03  1.29503E-03  4.05164E-03  1.00989E-02   -18859.8920020614
        -9572  3.24511E+00  3.25051E+00 -6.00899E-01 -2.07468E-01  7.54865E-01  1.14539E+00  3.30397E-01  1.84858E-01  7.12151E-01  2.30681E+00 -1.02207E-01  1.00000E+00  1.02267E-02  5.12862E-04  9.16366E-03  1.40940E-03 -2.48063E-05  1.37144E-02  2.92911E-04  1.66421E-03  5.18719E-03  1.17436E-02   -18901.7550795991
        -9571  3.32433E+00  3.29095E+00 -6.15973E-01 -2.20995E-01  7.53268E-01  1.18192E+00  3.30400E-01  1.77514E-01  7.05001E-01  2.30161E+00 -9.96091E-02  1.00000E+00  1.00479E-02  1.09346E-03  9.42450E-03  2.02396E-03  8.94599E-04  1.22183E-02  6.96367E-04  2.26273E-03  4.33253E-03  9.91994E-03   -19040.6420687279
        -9570  3.36803E+00  3.27397E+00 -6.30201E-01 -2.15653E-01  7.94691E-01  1.13170E+00  3.22369E-01  1.92536E-01  7.03147E-01  2.30762E+00 -9.96091E-02  1.00000E+00  9.52325E-03  6.94072E-04  8.33014E-03  2.12866E-03 -2.91579E-04  1.15921E-02 -3.52049E-04  1.76526E-03  2.42027E-03  9.59430E-03   -19118.4702210097
        -9569  3.31121E+00  3.27353E+00 -6.13109E-01 -2.13626E-01  7.89760E-01  1.09022E+00  3.21577E-01  2.04405E-01  7.06671E-01  2.31378E+00 -9.96091E-02  1.00000E+00  1.10480E-02  3.18938E-04  8.11324E-03  1.93425E-03 -7.55191E-04  1.04724E-02  6.46822E-04  1.15541E-03  2.66823E-03  9.98735E-03   -19125.7710510813
        -9568  3.30437E+00  3.29214E+00 -6.13573E-01 -2.22664E-01  7.86817E-01  1.13126E+00  3.22571E-01  1.90885E-01  7.03150E-01  2.31083E+00 -9.96091E-02  1.00000E+00  1.16039E-02  1.93172E-04  7.92373E-03  1.75498E-03 -3.22547E-04  1.04257E-02 -7.19331E-04  7.88052E-04  1.66364E-03  9.05576E-03   -19122.3637319910
        -9567  3.32696E+00  3.26837E+00 -6.16334E-01 -2.14334E-01  8.32991E-01  1.18833E+00  3.12091E-01  1.72250E-01  6.99616E-01  2.30345E+00 -1.00607E-01  1.00000E+00  1.08218E-02  4.95052E-04  8.43702E-03  1.82134E-03 -4.70361E-04  1.06755E-02 -1.50348E-04  5.83958E-04  2.55827E-03  9.78455E-03   -19043.7756719901
        -9566  3.30191E+00  3.21332E+00 -6.12579E-01 -1.98022E-01  8.26760E-01  1.14096E+00  3.13367E-01  1.91021E-01  6.85335E-01  2.30602E+00 -1.01168E-01  1.00000E+00  1.00929E-02  7.81629E-04  7.72450E-03  1.49604E-03 -1.35278E-03  1.05809E-02  2.62087E-04  6.37907E-05  2.59169E-03  1.13983E-02   -19044.7817773717
        -9565  3.28751E+00  3.29559E+00 -6.09359E-01 -2.23622E-01  7.38128E-01  1.13689E+00  3.37701E-01  1.89783E-01  6.88511E-01  2.29283E+00 -1.01168E-01  1.00000E+00  1.00671E-02  6.65241E-04  9.30949E-03  1.96729E-03 -1.51096E-03  9.77983E-03 -2.43706E-04  1.38752E-04  2.75038E-03  1.12489E-02   -18983.8555540520
        -9564  3.28021E+00  3.27914E+00 -6.06298E-01 -2.14187E-01  7.12299E-01  1.13686E+00  3.42096E-01  1.95198E-01  6.79478E-01  2.30225E+00 -9.78585E-02  1.00000E+00  1.04965E-02 -2.04694E-04  8.93993E-03  2.04902E-03 -6.86879E-04  1.00536E-02 -2.97578E-04  6.00838E-04  2.82023E-03  1.20423E-02   -19083.5077859131
        -9563  3.28399E+00  3.23035E+00 -6.07083E-01 -1.98998E-01  7.61981E-01  1.14021E+00  3.26227E-01  1.94352E-01  6.77332E-01  2.29268E+00 -9.78585E-02  1.00000E+00  1.09965E-02 -1.37775E-04  8.12510E-03  2.56882E-03 -3.57320E-04  1.04147E-02 -1.54825E-03  1.75778E-04  2.05391E-03  1.23391E-02   -19020.0111605829
        -9562  3.31836E+00  3.22216E+00 -6.19490E-01 -2.03320E-01  7.15621E-01  1.09028E+00  3.39860E-01  2.09484E-01  6.69804E-01  2.28883E+00 -1.02620E-01  1.00000E+00  9.69630E-03 -1.45771E-04  8.03983E-03  2.46779E-03 -5.02287E-04  1.00742E-02 -8.63143E-04 -1.95521E-05  2.36348E-03  1.09862E-02   -19041.7101915405
        -9561  3.24675E+00  3.26534E+00 -5.97805E-01 -2.12668E-01  6.89224E-01  1.13737E+00  3.48252E-01  1.88864E-01  6.63916E-01  2.28136E+00 -1.06254E-01  1.00000E+00  1.12504E-02 -1.00258E-04  7.19393E-03  2.84166E-03 -6.74752E-05  1.14487E-02 -1.11120E-03 -5.47457E-04  1.20864E-03  9.22262E-03   -19103.5356098351
        -9560  3.23914E+00  3.24870E+00 -5.93587E-01 -2.09191E-01  6.25725E-01  1.16684E+00  3.64342E-01  1.82181E-01  6.82343E-01  2.28658E+00 -1.04968E-01  1.00000E+00  1.01114E-02 -3.42667E-04  7.49152E-03  2.30426E-03 -3.49769E-04  1.04151E-02 -8.28812E-04 -5.81017E-04  2.28385E-03  9.77677E-03   -19013.4992395835
        -9559  3.28835E+00  3.23148E+00 -6.12383E-01 -2.01618E-01  6.62236E-01  1.15382E+00  3.54328E-01  1.89163E-01  6.88525E-01  2.29982E+00 -1.03059E-01  1.00000E+00  1.11409E-02 -1.59514E-03  8.02669E-03  2.10454E-03 -1.80899E-03  1.15093E-02 -1.02535E-03 -5.06518E-04  2.71504E-03  9.19482E-03   -19113.3924818223
        -9558  3.30735E+00  3.20631E+00 -6.14484E-01 -1.95561E-01  6.89448E-01  1.19134E+00  3.47238E-01  1.77125E-01  6.91612E-01  2.29303E+00 -1.03059E-01  1.00000E+00  1.06855E-02 -1.54840E-03  8.29948E-03  2.21746E-03 -6.05247E-04  1.13944E-02 -1.20319E-03 -1.64014E-04  2.80283E-03  8.25029E-03   -19156.4078497692
        -9557  3.27817E+00  3.26722E+00 -6.07553E-01 -2.15580E-01  7.18556E-01  1.14645E+00  3.43297E-01  1.88184E-01  6.88129E-01  2.29561E+00 -9.99805E-02  1.00000E+00  1.00462E-02 -3.45565E-04  7.18368E-03  1.05578E-03  1.94037E-05  1.22687E-02 -5.22054E-04  3.11973E-04  1.96830E-03  7.36838E-03   -19256.1583130107
        -9556  3.33474E+00  3.23368E+00 -6.22775E-01 -2.07171E-01  7.82642E-01  1.13185E+00  3.25750E-01  1.94835E-01  6.84158E-01  2.29029E+00 -1.00405E-01  1.00000E+00  1.08316E-02  4.20862E-04  6.79385E-03  1.47615E-03 -5.50361E-04  1.21083E-02 -1.95871E-03  4.84496E-04  1.32492E-03  8.39809E-03   -19182.8418945927
        -9555  3.32412E+00  3.22483E+00 -6.24188E-01 -1.99984E-01  7.60961E-01  1.09074E+00  3.31104E-01  2.03123E-01  6.88395E-01  2.30432E+00 -1.00405E-01  1.00000E+00  9.18865E-03  1.76662E-04  7.54628E-03  1.72003E-03 -1.09507E-03  1.12616E-02 -2.09786E-03  3.49405E-04  7.27721E-04  8.66553E-03   -19109.7487443775
        -9554  3.33841E+00  3.25663E+00 -6.24043E-01 -2.09461E-01  7.72591E-01  1.07568E+00  3.23410E-01  2.08156E-01  6.88199E-01  2.30307E+00 -1.02341E-01  1.00000E+00  9.78752E-03  4.27233E-04  8.29224E-03  3.02668E-03 -8.80177E-04  1.13213E-02 -7.38232E-04 -1.77303E-04  1.01128E-04  8.26877E-03   -19053.5359921643
        -9553  3.32874E+00  3.26216E+00 -6.20454E-01 -2.14447E-01  7.33902E-01  1.08095E+00  3.33455E-01  2.08316E-01  6.90935E-01  2.30360E+00 -1.05071E-01  1.00000E+00  1.11950E-02  7.47908E-05  8.54943E-03  3.38796E-03 -6.53136E-04  1.14864E-02 -9.31669E-04  1.95009E-04  1.07705E-03  8.22893E-03   -19056.4352782681
        -9552  3.26620E+00  3.23822E+00 -6.05731E-01 -2.03077E-01  6.98062E-01  1.05237E+00  3.42895E-01  2.16923E-01  6.89303E-01  2.29289E+00 -1.06854E-01  1.00000E+00  1.42868E-02  7.46913E-04  7.44682E-03  2.91881E-03 -7.92277E-04  1.26250E-02 -3.18884E-05 -9.02212E-05  2.13130E-03  8.37145E-03   -18974.8500973673
        -9551  3.33053E+00  3.21455E+00 -6.24161E-01 -2.01396E-01  7.20426E-01  1.06646E+00  3.38810E-01  2.13973E-01  6.80183E-01  2.29524E+00 -1.06390E-01  1.00000E+00  1.24684E-02  8.52232E-04  7.41640E-03  2.34490E-03 -4.10413E-04  1.20776E-02  6.63347E-05 -2.98076E-04  1.90231E-03  8.28089E-03   -18885.9911381274
        -9550  3.22957E+00  3.30287E+00 -5.92812E-01 -2.21357E-01  6.91308E-01  1.09860E+00  3.42828E-01  2.02499E-01  6.81310E-01  2.30105E+00 -1.03866E-01  1.00000E+00  1.03985E-02  2.75414E-04  1.03376E-02  3.01731E-03 -6.33570E-05  1.08729E-02  5.02529E-04  3.47791E-04  2.04547E-03  8.84036E-03   -18970.9840854858
        -9549  3.30080E+00  3.22313E+00 -6.12312E-01 -2.00704E-01  6.67650E-01  1.13519E+00  3.54880E-01  1.93247E-01  6.79160E-01  2.29510E+00 -1.06419E-01  1.00000E+00  1.30735E-02  9.32416E-04  9.26477E-03  3.78116E-03  8.72886E-04  1.05006E-02 -7.13714E-04  3.82185E-04  1.17970E-03  8.12841E-03   -19006.6947305254
        -9548  3.29852E+00  3.29022E+00 -6.10460E-01 -2.22319E-01  7.31361E-01  1.11699E+00  3.36013E-01  1.98215E-01  6.87453E-01  2.29818E+00 -1.00927E-01  1.00000E+00  1.16208E-02  6.78803E-05  8.84191E-03  2.25895E-03  9.51921E-04  8.98064E-03  6.02434E-05  2.11906E-04  1.40849E-03  7.73014E-03   -19127.5979113163
        -9547  3.26749E+00  3.24847E+00 -6.03154E-01 -2.08635E-01  6.88415E-01  1.15026E+00  3.46825E-01  1.86960E-01  7.00230E-01  2.29721E+00 -9.93003E-02  1.00000E+00  1.28300E-02  1.47596E-03  7.98979E-03  2.38547E-03  1.19074E-03  1.02957E-02 -1.70635E-04 -6.68760E-05  1.46836E-03  7.29571E-03   -19119.0095052761
        -9546  3.25287E+00  3.27884E+00 -5.98249E-01 -2.15354E-01  6.64522E-01  1.19591E+00  3.54763E-01  1.76791E-01  6.90740E-01  2.29915E+00 -1.00221E-01  1.00000E+00  1.10878E-02  3.12681E-04  8.24294E-03  3.17098E-03  1.19039E-03  9.99285E-03  8.27122E-04  6.34811E-04  2.16633E-03  7.70721E-03   -19114.6084062581
        -9545  3.28147E+00  3.21910E+00 -6.02933E-01 -1.99996E-01  7.32611E-01  1.18619E+00  3.37949E-01  1.78005E-01  6.96804E-01  2.29788E+00 -1.00694E-01  1.00000E+00  1.21543E-02  1.15188E-03  7.95444E-03  3.73194E-03  1.21976E-03  1.18498E-02  1.44640E-04  1.39069E-04  1.18604E-03  7.97439E-03   -19109.2839398343
        -9544  3.30445E+00  3.25044E+00 -6.14621E-01 -2.05395E-01  7.71423E-01  1.17098E+00  3.25420E-01  1.82713E-01  6.90293E-01  2.30978E+00 -1.00694E-01  1.00000E+00  1.09002E-02  3.77828E-04  7.70380E-03  2.74427E-03  2.58859E-04  1.09463E-02  1.68976E-04  2.92741E-04  1.19857E-03  8.78205E-03   -19222.7119652828
        -9543  3.29986E+00  3.24996E+00 -6.15401E-01 -2.08362E-01  7.35142E-01  1.14330E+00  3.30282E-01  1.89939E-01  6.96012E-01  2.28995E+00 -1.00694E-01  1.00000E+00  1.03848E-02 -1.06878E-04  7.12312E-03  3.16876E-03 -9.81992E-05  1.22593E-02 -1.11662E-04 -1.76268E-04  2.04508E-03  1.09480E-02   -19120.0851893679
        -9542  3.33695E+00  3.22739E+00 -6.26840E-01 -2.03739E-01  7.36500E-01  1.14873E+00  3.32033E-01  1.90009E-01  6.82832E-01  2.29873E+00 -9.72043E-02  1.00000E+00  1.07825E-02 -4.47037E-04  7.17632E-03  3.62010E-03 -2.61681E-05  1.35518E-02  5.22041E-04  1.53923E-04  4.00944E-03  9.49790E-03   -19069.6748103073
        -9541  3.31252E+00  3.27207E+00 -6.11360E-01 -2.14867E-01  7.43419E-01  1.17303E+00  3.28021E-01  1.79858E-01  6.99752E-01  2.29690E+00 -9.72043E-02  1.00000E+00  1.10960E-02 -4.64334E-05  7.15143E-03  2.24826E-03  4.93174E-04  1.29594E-02  9.30319E-04  5.92443E-04  4.88581E-03  1.13449E-02   -19122.8996883400
        -9540  3.31145E+00  3.23850E+00 -6.16414E-01 -2.03591E-01  7.22320E-01  1.13888E+00  3.32759E-01  1.87592E-01  6.96838E-01  2.29819E+00 -9.68400E-02  1.00000E+00  1.00280E-02  7.69867E-04  6.99401E-03  2.72959E-03  8.44463E-04  1.28678E-02 -4.64489E-04  7.64638E-04  3.98831E-03  1.05784E-02   -19256.8245635983
        -9539  3.29179E+00  3.28304E+00 -6.12031E-01 -2.15469E-01  7.13643E-01  1.15377E+00  3.37597E-01  1.84568E-01  7.10131E-01  2.30494E+00 -9.47022E-02  1.00000E+00  1.04658E-02  1.00777E-03  7.37912E-03  2.43369E-03  6.77798E-04  1.05549E-02  1.12461E-04  6.03128E-04  2.34614E-03  8.89753E-03   -19258.3293721286
        -9538  3.26530E+00  3.22265E+00 -6.02507E-01 -2.02204E-01  7.43791E-01  1.14375E+00  3.27666E-01  1.91325E-01  7.02662E-01  2.31313E+00 -9.90815E-02  1.00000E+00  1.11757E-02  5.56842E-04  7.43390E-03  2.03322E-03  1.60350E-03  1.09373E-02 -7.06525E-04  1.65259E-03  3.33223E-03  1.07842E-02   -19181.7528816838
        -9537  3.29442E+00  3.29138E+00 -6.11501E-01 -2.20561E-01  8.21564E-01  1.12529E+00  3.07296E-01  1.97923E-01  6.98033E-01  2.31180E+00 -9.83748E-02  1.00000E+00  1.09004E-02  1.88393E-05  7.31619E-03  1.94118E-03  5.11447E-04  1.02114E-02 -2.34986E-04  8.49914E-04  1.63080E-03  9.09061E-03   -19174.1084668419
