TABLE NO.     5: MCMC Bayesian Analysis: Goal Function=AVERAGE VALUE OF LIKELIHOOD FUNCTION: Problem=1 Subproblem=0 Superproblem1=0 Iteration1=0 Superproblem2=0 Iteration2=0
 ITERATION    THETA1       THETA2       THETA3       THETA4       THETA5       THETA6       THETA7       THETA8       THETA9       THETA10      THETA11      SIGMA(1,1)   OMEGA(1,1)   OMEGA(2,1)   OMEGA(2,2)   OMEGA(3,1)   OMEGA(3,2)   OMEGA(3,3)   OMEGA(4,1)   OMEGA(4,2)   OMEGA(4,3)   OMEGA(4,4)   MCMCOBJ
        -9986  3.36023E+00  3.26714E+00 -6.30410E-01 -2.14288E-01  6.58950E-01  1.11371E+00  3.58157E-01  1.89421E-01  6.82277E-01  2.28513E+00  9.88706E-02  1.00000E+00  9.47967E-03  8.73920E-05  7.03052E-03  7.30863E-05 -8.02670E-04  7.74595E-03 -2.34105E-03 -2.19736E-04  1.61313E-03  1.08260E-02   -19249.0631517286
        -9985  3.26656E+00  3.22586E+00 -6.04133E-01 -2.06211E-01  6.70375E-01  1.14094E+00  3.54224E-01  1.84380E-01  6.77499E-01  2.28102E+00  9.82023E-02  1.00000E+00  9.24931E-03 -5.90875E-04  8.24895E-03 -5.86745E-05 -1.06789E-03  8.42916E-03 -1.19921E-03 -9.91354E-04  2.70003E-03  1.22650E-02   -18996.4174340849
        -9984  3.29322E+00  3.28132E+00 -6.13434E-01 -2.19027E-01  6.85591E-01  1.16686E+00  3.47018E-01  1.81036E-01  6.65149E-01  2.27800E+00  1.02411E-01  1.00000E+00  8.74774E-03  4.23549E-04  7.93140E-03 -4.49135E-04 -4.79540E-04  9.20723E-03 -2.29359E-03 -7.38183E-05  2.96839E-03  1.40810E-02   -19137.3857087155
        -9983  3.28703E+00  3.22126E+00 -6.11314E-01 -2.02335E-01  6.95422E-01  1.10565E+00  3.42515E-01  1.95498E-01  6.64609E-01  2.27822E+00  1.02411E-01  1.00000E+00  9.79683E-03 -5.25822E-04  7.17529E-03 -8.10706E-04 -9.09680E-04  9.29904E-03 -2.57484E-03  1.75618E-03  2.97634E-03  1.23222E-02   -19126.5660288094
        -9982  3.32132E+00  3.17427E+00 -6.20645E-01 -1.89087E-01  6.95335E-01  1.13924E+00  3.45013E-01  1.84500E-01  6.66329E-01  2.27534E+00  1.02082E-01  1.00000E+00  8.99213E-03  1.20859E-04  6.73993E-03 -1.81051E-04 -5.24844E-04  9.84531E-03 -1.05883E-03  1.11837E-03  2.58278E-03  9.91198E-03   -19115.2994490684
        -9981  3.26200E+00  3.22957E+00 -6.05387E-01 -2.06388E-01  7.14605E-01  1.10272E+00  3.39700E-01  1.97227E-01  6.66658E-01  2.28171E+00  1.01353E-01  1.00000E+00  9.14409E-03 -3.96950E-04  6.82572E-03 -3.21651E-04 -6.56720E-04  9.70445E-03 -1.51505E-03  2.00371E-03  2.48975E-03  1.05259E-02   -19132.8079682698
        -9980  3.27355E+00  3.19610E+00 -6.06380E-01 -1.95923E-01  7.63179E-01  1.08892E+00  3.26018E-01  1.99660E-01  6.67573E-01  2.28165E+00  1.01315E-01  1.00000E+00  1.04821E-02 -8.53944E-04  6.64291E-03  9.68676E-05 -4.82726E-04  9.46205E-03 -1.11682E-03  8.71250E-04  2.27549E-03  1.09033E-02   -19178.9160856286
        -9979  3.29598E+00  3.27174E+00 -6.14170E-01 -2.16219E-01  7.49099E-01  1.11673E+00  3.33333E-01  1.89222E-01  6.70279E-01  2.28051E+00  1.01315E-01  1.00000E+00  1.01214E-02 -1.75521E-03  6.33551E-03 -7.48160E-04 -1.27684E-03  9.79871E-03 -2.30939E-03  1.45239E-03  2.53567E-03  1.20363E-02   -19251.3256565188
        -9978  3.30313E+00  3.22063E+00 -6.13592E-01 -2.01502E-01  7.55948E-01  1.14588E+00  3.33131E-01  1.85316E-01  6.67442E-01  2.28243E+00  9.89717E-02  1.00000E+00  8.37424E-03 -1.58343E-03  6.47750E-03 -1.62992E-04 -1.05946E-03  8.75819E-03 -1.20632E-03  7.23497E-04  1.83913E-03  1.25339E-02   -19227.7203637130
        -9977  3.31906E+00  3.22777E+00 -6.15703E-01 -2.05468E-01  7.44961E-01  1.18578E+00  3.35997E-01  1.75573E-01  6.70837E-01  2.28235E+00  1.01582E-01  1.00000E+00  1.10383E-02 -1.26675E-03  6.67101E-03  6.76770E-04 -1.55763E-03  8.66544E-03 -9.14527E-04  1.22941E-03  1.14757E-03  1.01335E-02   -19168.9734842717
        -9976  3.30622E+00  3.22462E+00 -6.15549E-01 -2.02756E-01  7.29533E-01  1.13107E+00  3.38062E-01  1.91316E-01  6.74219E-01  2.28544E+00  1.02669E-01  1.00000E+00  1.05753E-02 -1.28757E-03  6.53457E-03  7.98092E-04 -1.15592E-03  8.45126E-03 -9.87234E-04  7.51071E-04  1.94957E-03  1.03523E-02   -19139.2719759755
        -9975  3.28555E+00  3.24340E+00 -6.08270E-01 -2.03401E-01  7.50625E-01  1.12836E+00  3.29722E-01  1.92131E-01  6.72833E-01  2.28129E+00  9.92991E-02  1.00000E+00  9.94297E-03 -6.75886E-04  6.36892E-03  9.72923E-04 -2.31136E-03  9.96633E-03 -1.25525E-03  8.67907E-04  1.12100E-03  9.56086E-03   -19266.9543193343
        -9974  3.31855E+00  3.22334E+00 -6.19440E-01 -2.02217E-01  7.23115E-01  1.12126E+00  3.39040E-01  1.94923E-01  6.67217E-01  2.28648E+00  9.96351E-02  1.00000E+00  9.99511E-03 -1.30715E-03  5.74917E-03  1.56659E-03 -1.86229E-03  1.05275E-02 -8.96857E-04  2.61318E-04  1.66557E-03  9.25675E-03   -19299.8235039143
        -9973  3.29905E+00  3.17713E+00 -6.15732E-01 -1.91638E-01  7.34917E-01  1.13454E+00  3.38213E-01  1.93299E-01  6.69661E-01  2.29354E+00  1.00433E-01  1.00000E+00  1.02098E-02 -7.40375E-04  6.08490E-03  4.70133E-04 -2.14413E-03  8.37220E-03 -9.77992E-04 -1.17077E-04  1.32248E-03  9.98802E-03   -19259.4914148018
        -9972  3.29869E+00  3.20662E+00 -6.14605E-01 -1.95638E-01  7.14405E-01  1.10086E+00  3.42284E-01  1.98059E-01  6.73192E-01  2.28225E+00  9.94889E-02  1.00000E+00  1.06390E-02 -3.40796E-04  6.83855E-03 -1.07508E-03 -1.83437E-03  7.23190E-03 -4.12639E-04  1.09974E-04  1.74140E-03  9.61458E-03   -19325.9477148262
        -9971  3.26346E+00  3.27906E+00 -6.02129E-01 -2.15897E-01  7.34475E-01  1.12218E+00  3.33662E-01  1.93756E-01  6.82030E-01  2.28139E+00  9.95760E-02  1.00000E+00  1.00643E-02  2.32168E-05  7.12070E-03 -7.90866E-04 -2.30975E-03  7.11999E-03 -8.63532E-04  1.59885E-04  1.05592E-03  9.82567E-03   -19380.3524917762
        -9970  3.31378E+00  3.28661E+00 -6.15782E-01 -2.23824E-01  7.29719E-01  1.14001E+00  3.35031E-01  1.86478E-01  6.79189E-01  2.28497E+00  9.95760E-02  1.00000E+00  9.89221E-03 -2.12579E-04  7.73943E-03 -6.06991E-04 -2.28644E-03  6.42433E-03 -9.92853E-05 -6.71960E-04  5.92512E-04  8.36460E-03   -19448.1070106451
        -9969  3.29250E+00  3.23924E+00 -6.09687E-01 -2.07341E-01  7.35697E-01  1.11312E+00  3.36311E-01  1.94560E-01  6.72635E-01  2.28782E+00  9.95760E-02  1.00000E+00  1.13006E-02 -3.39508E-04  8.19493E-03  6.27875E-04 -2.01786E-03  6.07136E-03 -1.48800E-03 -2.11261E-04 -6.69982E-04  8.39955E-03   -19383.2982659871
        -9968  3.31309E+00  3.23146E+00 -6.14743E-01 -2.02340E-01  7.39568E-01  1.08147E+00  3.36225E-01  2.05474E-01  6.76230E-01  2.28937E+00  1.00025E-01  1.00000E+00  1.00053E-02  3.38266E-04  7.34361E-03 -2.34110E-04 -1.74558E-03  5.95011E-03 -3.81306E-04 -9.36274E-04 -2.24458E-04  7.60421E-03   -19377.3631960537
        -9967  3.34173E+00  3.21592E+00 -6.25203E-01 -2.01794E-01  7.54772E-01  1.07685E+00  3.32848E-01  2.07227E-01  6.81803E-01  2.28402E+00  1.01388E-01  1.00000E+00  1.08636E-02  4.38906E-04  8.05876E-03  8.77133E-04 -2.11190E-03  6.23195E-03 -1.55038E-03 -2.70239E-04 -4.79903E-04  7.96140E-03   -19329.3784688089
        -9966  3.31126E+00  3.26155E+00 -6.16093E-01 -2.12472E-01  7.50371E-01  1.11899E+00  3.29040E-01  1.96982E-01  6.75761E-01  2.28348E+00  1.01463E-01  1.00000E+00  9.77274E-03  2.66476E-04  8.96964E-03  9.65570E-04 -3.46124E-03  8.08482E-03 -9.16829E-04 -3.60690E-04  7.55576E-05  8.70322E-03   -19215.5182079603
        -9965  3.25301E+00  3.25110E+00 -5.95694E-01 -2.09969E-01  6.58019E-01  1.06702E+00  3.55474E-01  2.12257E-01  6.82361E-01  2.28959E+00  1.01463E-01  1.00000E+00  1.05440E-02  7.05379E-04  8.23641E-03  3.71132E-04 -3.34798E-03  8.98268E-03 -2.79723E-04 -8.59798E-04 -2.61445E-04  8.79109E-03   -19298.9780570389
        -9964  3.31703E+00  3.23364E+00 -6.20371E-01 -2.01135E-01  6.49404E-01  1.10523E+00  3.59828E-01  2.00772E-01  6.80634E-01  2.29119E+00  1.00392E-01  1.00000E+00  1.16056E-02  3.51087E-05  9.68445E-03  5.79254E-04 -3.84351E-03  8.10060E-03 -1.39483E-03 -1.81690E-03  1.83992E-04  8.92522E-03   -19338.8177818071
        -9963  3.23877E+00  3.22720E+00 -5.92932E-01 -2.02639E-01  6.43111E-01  1.07598E+00  3.61693E-01  2.06225E-01  6.87705E-01  2.29177E+00  1.01239E-01  1.00000E+00  9.49741E-03  1.85030E-04  1.15734E-02  1.17434E-05 -5.26186E-03  8.09264E-03 -5.90772E-04 -1.82879E-03  2.97924E-04  7.55112E-03   -19284.3378686728
        -9962  3.32337E+00  3.22667E+00 -6.19285E-01 -2.01707E-01  7.00157E-01  1.07465E+00  3.48311E-01  2.06850E-01  6.86864E-01  2.29229E+00  1.03431E-01  1.00000E+00  1.02622E-02  2.17918E-05  9.23601E-03  3.87906E-04 -3.38946E-03  7.53485E-03 -1.45580E-03 -1.39241E-03 -2.97920E-04  9.32718E-03   -19238.5346741283
        -9961  3.32853E+00  3.25032E+00 -6.19848E-01 -2.08961E-01  7.28954E-01  1.07603E+00  3.41628E-01  2.09609E-01  6.91490E-01  2.29441E+00  1.03431E-01  1.00000E+00  9.15670E-03 -2.29988E-05  1.01757E-02  5.40360E-05 -4.04357E-03  7.78965E-03 -4.70892E-04 -1.38799E-03  4.76484E-04  9.90433E-03   -19056.8533203986
        -9960  3.22213E+00  3.26024E+00 -5.89150E-01 -2.11527E-01  7.89694E-01  1.06885E+00  3.24702E-01  2.09432E-01  6.85645E-01  2.29697E+00  1.03431E-01  1.00000E+00  9.85979E-03  3.74759E-04  9.91358E-03  1.21920E-04 -4.25003E-03  9.24023E-03 -1.00481E-03 -1.03785E-03  1.68219E-03  1.06159E-02   -19083.9092393921
        -9959  3.27976E+00  3.21998E+00 -6.07680E-01 -2.00426E-01  7.45109E-01  1.09464E+00  3.34885E-01  2.06706E-01  6.76047E-01  2.28666E+00  1.01771E-01  1.00000E+00  1.13954E-02  8.23876E-04  9.80231E-03  1.75292E-04 -3.67343E-03  7.32862E-03 -9.54174E-04 -6.15985E-04  1.05069E-03  9.84110E-03   -19247.6592587994
        -9958  3.30910E+00  3.27268E+00 -6.12078E-01 -2.11828E-01  7.43672E-01  1.10012E+00  3.37928E-01  2.05036E-01  6.80281E-01  2.30088E+00  1.00602E-01  1.00000E+00  9.61137E-03  1.43027E-03  8.67218E-03 -1.97586E-04 -3.78675E-03  7.18772E-03 -4.72337E-04 -6.19974E-04  2.96574E-04  1.07706E-02   -19349.0950061263
