TABLE NO.     4: MCMC Bayesian Analysis: Goal Function=AVERAGE VALUE OF LIKELIHOOD FUNCTION: Problem=1 Subproblem=0 Superproblem1=0 Iteration1=0 Superproblem2=0 Iteration2=0
 ITERATION    THETA1       THETA2       THETA3       THETA4       SIGMA(1,1)   OMEGA(1,1)   OMEGA(2,1)   OMEGA(2,2)   OMEGA(3,1)   OMEGA(3,2)   OMEGA(3,3)   OMEGA(4,1)   OMEGA(4,2)   OMEGA(4,3)   OMEGA(4,4)   MCMCOBJ
        -9979  1.67143E+00  1.54077E+00  6.83265E-01  2.34887E+00  5.88463E-02  1.64054E-01  2.52914E-02  1.52837E-01 -1.55803E-02 -1.15189E-02  1.89628E-01 -1.06053E-02 -1.97330E-02 -2.42834E-02  1.09431E-01   -2221.81642942307
        -9978  1.62500E+00  1.57992E+00  7.49871E-01  2.31123E+00  6.12489E-02  1.90754E-01  2.12045E-02  2.23275E-01 -1.49941E-02 -2.80535E-02  1.71935E-01 -3.00416E-02  7.16455E-03 -2.96334E-03  9.99067E-02   -2271.86316911905
        -9977  1.61434E+00  1.62137E+00  6.96151E-01  2.37693E+00  5.83541E-02  1.72610E-01  2.81886E-02  1.59452E-01 -1.34763E-02  7.93129E-03  1.42525E-01 -3.41596E-02  4.09614E-03  1.11628E-02  8.36146E-02   -2243.54963841855
        -9976  1.64781E+00  1.62918E+00  6.55594E-01  2.33469E+00  5.98730E-02  1.39537E-01  1.45890E-02  2.37794E-01 -8.94975E-03  3.64177E-04  1.58836E-01 -3.37904E-02 -4.48562E-02  5.84994E-03  9.24149E-02   -2218.02652537274
        -9975  1.62545E+00  1.57060E+00  6.33944E-01  2.35452E+00  6.31365E-02  1.51808E-01 -1.61177E-02  2.27859E-01 -1.36753E-02 -1.84281E-03  1.45934E-01 -2.99316E-02 -1.07691E-02 -1.31797E-02  8.70231E-02   -2224.96448363717
        -9974  1.64907E+00  1.56104E+00  6.88151E-01  2.32874E+00  5.56828E-02  1.37525E-01 -4.50347E-03  2.37853E-01  8.06892E-03 -2.41470E-03  1.47534E-01 -2.54843E-02 -2.60753E-02 -2.54745E-02  1.14643E-01   -2275.44325880161
        -9973  1.63746E+00  1.58242E+00  6.74473E-01  2.29374E+00  5.88258E-02  2.25163E-01 -3.15544E-02  2.15504E-01  8.68854E-03  3.08400E-03  1.47853E-01 -3.46449E-02  6.93239E-03 -1.21893E-02  7.01168E-02   -2266.90250237550
        -9972  1.57221E+00  1.42447E+00  7.17854E-01  2.28660E+00  5.72349E-02  1.71862E-01 -1.05789E-02  2.36935E-01 -6.88484E-04 -2.69700E-02  1.44319E-01 -1.97758E-02  2.39627E-03 -3.44809E-03  9.36753E-02   -2262.53179620196
        -9971  1.65185E+00  1.60831E+00  7.59777E-01  2.32310E+00  5.08259E-02  1.76215E-01  1.12299E-02  2.08422E-01  1.06556E-02  2.70799E-02  1.48749E-01 -6.01729E-02 -3.65326E-02 -4.97289E-03  1.34929E-01   -2275.07326205948
        -9970  1.60472E+00  1.56079E+00  7.41303E-01  2.24168E+00  5.14839E-02  1.83435E-01 -2.73953E-02  1.73761E-01 -1.03846E-02  2.26963E-02  1.33960E-01 -5.85856E-02  1.25650E-02  1.25185E-02  1.23988E-01   -2275.52517542613
        -9969  1.67678E+00  1.56772E+00  7.42487E-01  2.25706E+00  5.07489E-02  2.19742E-01 -1.19841E-02  2.16480E-01 -1.81327E-02  6.92639E-03  1.33371E-01 -5.96942E-02  2.89125E-02 -4.19855E-03  1.33356E-01   -2230.17783329900
        -9968  1.70031E+00  1.61957E+00  6.30523E-01  2.35288E+00  5.27090E-02  1.69178E-01 -2.57976E-02  2.70399E-01  2.65386E-02  6.41376E-02  1.98339E-01 -2.48763E-02 -7.58225E-03 -2.05616E-02  1.37685E-01   -2241.81877995908
        -9967  1.60307E+00  1.55151E+00  6.57566E-01  2.28671E+00  5.67337E-02  1.59557E-01  4.93043E-03  1.83489E-01  1.40106E-02  1.66190E-02  1.78655E-01 -4.10479E-02 -3.71647E-02  7.74353E-03  1.52366E-01   -2248.58142200634
        -9966  1.61514E+00  1.48610E+00  6.28277E-01  2.34320E+00  6.00776E-02  2.08264E-01  7.08598E-02  3.02515E-01  2.52308E-02  5.26033E-02  1.97188E-01 -4.58683E-02  6.66384E-03  8.65926E-06  1.20134E-01   -2225.01114166526
        -9965  1.59424E+00  1.51739E+00  6.56701E-01  2.32142E+00  5.80009E-02  1.58703E-01  5.92338E-03  1.83055E-01  8.54703E-04  2.70776E-02  1.85044E-01 -5.93484E-02  3.11799E-02  1.31184E-02  1.47223E-01   -2250.80762461594
