TABLE NO.     4: MCMC Bayesian Analysis: Goal Function=AVERAGE VALUE OF LIKELIHOOD FUNCTION: Problem=1 Subproblem=0 Superproblem1=0 Iteration1=0 Superproblem2=0 Iteration2=0
 ITERATION    THETA1       THETA2       THETA3       THETA4       SIGMA(1,1)   OMEGA(1,1)   OMEGA(2,1)   OMEGA(2,2)   OMEGA(3,1)   OMEGA(3,2)   OMEGA(3,3)   OMEGA(4,1)   OMEGA(4,2)   OMEGA(4,3)   OMEGA(4,4)   MCMCOBJ
        -9979  1.59122E+00  1.59756E+00  7.61543E-01  2.39577E+00  6.40953E-02  1.71363E-01  3.13546E-03  1.68051E-01 -1.92087E-03 -4.84679E-02  2.32368E-01 -3.91943E-02 -7.53533E-03  5.27572E-02  1.27036E-01   -2298.72543728558
        -9978  1.61045E+00  1.45443E+00  7.29737E-01  2.36082E+00  5.98320E-02  1.90061E-01 -2.71076E-02  1.76548E-01  1.20971E-02 -4.18912E-02  2.36760E-01 -5.05527E-02 -1.20252E-02  6.03951E-02  1.69055E-01   -2319.11137177866
        -9977  1.60402E+00  1.64106E+00  8.09168E-01  2.37086E+00  7.34692E-02  1.94465E-01 -2.74484E-02  1.70190E-01 -2.34214E-02 -4.86345E-02  2.39784E-01 -3.45946E-02 -5.27662E-02  6.07564E-02  1.84542E-01   -2229.55303791344
        -9976  1.58025E+00  1.62596E+00  8.37022E-01  2.38362E+00  6.92696E-02  1.86387E-01 -1.12735E-02  1.36280E-01 -1.51383E-02 -2.48293E-03  1.50815E-01 -4.48636E-02 -4.31216E-02  2.17908E-02  1.86817E-01   -2294.13198969575
        -9975  1.64229E+00  1.66553E+00  8.32817E-01  2.36781E+00  6.21797E-02  1.66646E-01 -2.12569E-02  9.57654E-02 -1.52595E-02 -7.81031E-03  2.01374E-01 -1.51388E-02 -1.23856E-02  7.78529E-03  1.23321E-01   -2370.95261712440
        -9974  1.64915E+00  1.63783E+00  8.15765E-01  2.33593E+00  5.81619E-02  2.22886E-01 -9.08633E-03  8.66376E-02  2.18531E-02  8.74949E-04  2.36763E-01  1.20421E-02  2.20115E-02  6.58843E-02  1.61326E-01   -2326.29776411307
        -9973  1.62584E+00  1.59563E+00  6.94341E-01  2.34208E+00  6.39505E-02  2.03291E-01 -8.22061E-03  7.52909E-02  2.46725E-02 -1.87504E-02  1.91935E-01  2.15616E-02  2.16166E-02  2.39431E-02  1.52369E-01   -2299.37623165300
        -9972  1.60861E+00  1.56164E+00  7.33346E-01  2.27420E+00  6.76452E-02  1.57738E-01 -2.43705E-04  8.85483E-02  7.39431E-03 -2.97307E-02  1.81471E-01 -1.19664E-02  1.06422E-02  6.89782E-03  1.23873E-01   -2327.72335136611
        -9971  1.62340E+00  1.53891E+00  7.21912E-01  2.29138E+00  7.23971E-02  1.87666E-01  2.71819E-02  1.08794E-01  2.41334E-04 -3.35665E-02  1.47243E-01 -2.97240E-02 -1.82393E-02  3.49504E-02  1.28320E-01   -2316.15243692849
        -9970  1.66663E+00  1.61017E+00  7.11412E-01  2.43048E+00  7.32594E-02  1.54628E-01  9.50033E-04  1.35823E-01 -7.23509E-03 -6.71015E-02  1.54385E-01 -1.72277E-02 -4.39455E-02  3.09080E-02  1.21916E-01   -2231.51285029884
        -9969  1.74291E+00  1.67706E+00  7.32440E-01  2.39043E+00  7.99354E-02  2.66212E-01 -1.59700E-02  1.14436E-01  1.89241E-02 -4.92490E-02  1.52725E-01 -2.09301E-02 -7.65801E-03 -5.50598E-03  1.15855E-01   -2249.89412049450
        -9968  1.72801E+00  1.58975E+00  7.26927E-01  2.31271E+00  7.00139E-02  1.76179E-01  6.76276E-03  1.19848E-01 -2.54784E-04 -2.41546E-02  1.21858E-01 -2.42783E-02 -4.64163E-02  2.30333E-02  1.26771E-01   -2285.79172288819
        -9967  1.66584E+00  1.61640E+00  7.17792E-01  2.32066E+00  6.87686E-02  1.72656E-01 -1.86151E-02  1.29568E-01  8.53996E-03 -2.19301E-02  1.24053E-01 -3.88972E-02 -3.97964E-02  2.49920E-02  1.34696E-01   -2260.23643080819
        -9966  1.70669E+00  1.68266E+00  6.74034E-01  2.24140E+00  7.63377E-02  1.80872E-01 -2.64407E-02  1.77357E-01  1.24784E-02 -2.45769E-02  1.73045E-01 -4.19842E-02 -4.60834E-02  6.12607E-03  1.63614E-01   -2193.13916393232
        -9965  1.64333E+00  1.70212E+00  6.94437E-01  2.28762E+00  8.22461E-02  1.80240E-01 -3.51836E-02  1.52355E-01  8.97093E-03 -3.52295E-04  1.45444E-01 -5.63660E-02  7.27133E-05  2.46568E-02  1.42063E-01   -2250.27666270115
        -9964  1.56422E+00  1.70540E+00  6.84726E-01  2.32891E+00  7.89579E-02  1.95134E-01 -2.03449E-02  1.25778E-01  2.36029E-02 -2.72008E-02  1.74440E-01 -4.39370E-02 -5.40710E-03  4.21388E-02  1.86985E-01   -2203.46482070018
