TABLE NO.     4: MCMC Bayesian Analysis: Goal Function=AVERAGE VALUE OF LIKELIHOOD FUNCTION: Problem=1 Subproblem=0 Superproblem1=0 Iteration1=0 Superproblem2=0 Iteration2=0
 ITERATION    THETA1       THETA2       THETA3       THETA4       SIGMA(1,1)   OMEGA(1,1)   OMEGA(2,1)   OMEGA(2,2)   OMEGA(3,1)   OMEGA(3,2)   OMEGA(3,3)   OMEGA(4,1)   OMEGA(4,2)   OMEGA(4,3)   OMEGA(4,4)   MCMCOBJ
          458  1.65146E+00  1.49086E+00  8.48270E-01  2.30370E+00  5.97867E-02  2.15057E-01 -3.48986E-02  1.52201E-01  1.30817E-02  1.38919E-03  1.80553E-01  1.20164E-02 -7.45440E-03  3.64363E-02  1.90442E-01   -2267.82514167042
          459  1.67814E+00  1.51593E+00  8.00673E-01  2.28150E+00  6.40949E-02  1.69226E-01 -3.27444E-02  1.57772E-01  2.75915E-02 -3.37181E-02  2.09740E-01  2.55549E-02 -2.84616E-02  8.53340E-02  1.73955E-01   -2248.22826172735
          460  1.55922E+00  1.54454E+00  7.39311E-01  2.31488E+00  6.41139E-02  1.93752E-01 -3.41208E-02  1.52260E-01  3.25456E-02 -1.40890E-02  2.08844E-01  1.31604E-02 -2.67869E-02  5.27429E-02  1.77820E-01   -2206.62040198975
          461  1.73538E+00  1.45554E+00  7.60892E-01  2.35024E+00  7.94370E-02  1.46365E-01 -2.39948E-02  1.49089E-01  1.72881E-02 -2.49549E-02  2.32854E-01 -3.32827E-02  1.96323E-02  5.08601E-02  2.04791E-01   -2151.34500336333
          462  1.60449E+00  1.54452E+00  7.18762E-01  2.41787E+00  7.78453E-02  2.36763E-01  6.08612E-03  2.08242E-01  2.98490E-02 -4.15774E-02  2.22250E-01 -1.67049E-02  6.32815E-02  4.43821E-02  2.05871E-01   -2124.37770464396
          463  1.48363E+00  1.56671E+00  7.38948E-01  2.35339E+00  6.86537E-02  2.15385E-01 -8.97571E-04  1.38772E-01  3.65999E-02 -2.31197E-02  2.41244E-01 -2.38082E-02 -1.39457E-03  4.75275E-02  1.89922E-01   -2190.67264028633
          464  1.64704E+00  1.55515E+00  7.06894E-01  2.42071E+00  6.00308E-02  2.19600E-01  2.98075E-02  1.38856E-01  5.07270E-02 -4.09255E-02  2.73497E-01 -2.57750E-02 -1.90108E-03  5.60358E-02  1.69399E-01   -2252.16394677571
          465  1.73395E+00  1.55974E+00  6.96633E-01  2.35401E+00  6.32194E-02  2.27770E-01 -4.85207E-03  1.55068E-01  3.95449E-02 -2.66873E-02  2.67886E-01 -4.20590E-02  3.13785E-02  2.76965E-02  1.99280E-01   -2264.01806287958
          466  1.66138E+00  1.50141E+00  7.39045E-01  2.45973E+00  5.80349E-02  1.91548E-01 -1.03494E-02  1.43677E-01  3.88726E-02 -4.30914E-02  2.91536E-01  4.27680E-02 -2.56873E-04  8.08850E-02  1.94955E-01   -2310.29081924806
          467  1.62505E+00  1.55468E+00  7.44942E-01  2.28905E+00  5.99099E-02  1.80615E-01  8.10024E-03  1.16558E-01  3.63973E-02 -4.15926E-02  2.61386E-01  2.64006E-02  9.30376E-03  2.37340E-02  1.61066E-01   -2340.33106663386
          468  1.63604E+00  1.57981E+00  7.93998E-01  2.39701E+00  5.50895E-02  1.97922E-01 -1.90178E-03  1.02427E-01  4.03496E-02 -5.08772E-02  2.15949E-01  1.33570E-02  4.69971E-03  2.64282E-02  1.72537E-01   -2336.97413648863
          469  1.65262E+00  1.63791E+00  6.95631E-01  2.37872E+00  5.96319E-02  1.70779E-01  9.91990E-03  9.49251E-02  1.23836E-02 -1.45731E-02  2.30759E-01 -1.47591E-02  2.31436E-02  5.68377E-02  1.62922E-01   -2262.66524646646
          470  1.60512E+00  1.62868E+00  6.09787E-01  2.37454E+00  5.72314E-02  1.40632E-01  1.50428E-03  1.31382E-01  1.05127E-02 -8.34027E-02  2.72200E-01 -1.00002E-02  2.17435E-02  6.55290E-04  1.64488E-01   -2244.43726019974
          471  1.62368E+00  1.54764E+00  7.18283E-01  2.28832E+00  5.69113E-02  1.80306E-01 -1.62441E-02  1.13611E-01  7.59009E-02 -7.99704E-02  3.73805E-01 -6.92621E-03  1.03149E-02  2.66208E-02  1.40400E-01   -2257.01470281823
          472  1.59441E+00  1.57159E+00  6.48871E-01  2.36397E+00  6.54609E-02  1.42514E-01 -2.28729E-02  1.94804E-01  4.13506E-02 -9.11785E-02  3.46041E-01  3.87345E-03 -2.38981E-02  8.31256E-02  1.20386E-01   -2221.81532497314
          473  1.63196E+00  1.58164E+00  7.01393E-01  2.37832E+00  6.38229E-02  1.69534E-01  1.53784E-02  1.44272E-01  7.89995E-02 -2.24063E-02  3.34176E-01  1.37451E-02 -1.12446E-02  7.21579E-02  1.47696E-01   -2223.78078011259
          474  1.64315E+00  1.56588E+00  7.23328E-01  2.35299E+00  5.81942E-02  2.02382E-01  1.52300E-02  1.59086E-01  9.04480E-02 -3.72631E-03  3.61510E-01 -6.37553E-03 -1.49582E-02  1.33704E-02  1.43709E-01   -2280.14513011146
          475  1.74534E+00  1.57669E+00  7.86450E-01  2.36031E+00  5.61869E-02  1.63141E-01 -1.05977E-02  1.89617E-01  4.01442E-02 -3.12169E-02  3.76553E-01 -3.65714E-03  4.56003E-02  2.63244E-02  1.49049E-01   -2290.79293361219
          476  1.58953E+00  1.62431E+00  7.79253E-01  2.38188E+00  6.15129E-02  1.60352E-01 -6.51642E-03  1.61819E-01 -2.65284E-03 -1.12861E-02  3.26512E-01  1.49140E-02  1.31137E-02  3.73731E-02  1.56039E-01   -2310.92153254036
          477  1.56075E+00  1.51168E+00  6.77242E-01  2.35424E+00  5.60660E-02  1.62716E-01 -1.86374E-02  1.30413E-01  2.82005E-02 -2.61014E-02  3.23030E-01 -1.10171E-02 -9.13690E-03  8.52196E-02  1.64244E-01   -2301.60981161018
          478  1.62995E+00  1.46550E+00  7.96151E-01  2.37175E+00  5.62118E-02  1.42017E-01 -9.79404E-03  1.63614E-01  1.16185E-02 -1.58912E-02  2.53666E-01 -2.41501E-02 -2.93471E-02  2.94321E-02  1.32409E-01   -2324.68496102230
          479  1.62140E+00  1.52742E+00  8.05884E-01  2.30436E+00  5.57572E-02  1.75167E-01  2.87276E-03  1.39079E-01  2.43096E-02  8.55205E-03  1.73582E-01 -1.84195E-02 -1.61678E-02  1.53225E-02  1.66421E-01   -2295.13482750141
          480  1.61345E+00  1.54844E+00  6.61029E-01  2.26375E+00  5.78650E-02  1.91736E-01  4.80186E-04  1.20853E-01  1.28201E-02  8.24574E-03  2.30042E-01  1.56116E-03 -1.00653E-02  9.08011E-02  2.05984E-01   -2280.50047982796
          481  1.59392E+00  1.56386E+00  7.21123E-01  2.34463E+00  6.05606E-02  2.01452E-01  2.12473E-02  1.25487E-01  4.33957E-02  3.55808E-03  3.52519E-01 -5.36131E-03  4.62866E-03  8.80407E-02  2.49898E-01   -2288.77904517773
          482  1.64549E+00  1.60112E+00  8.07014E-01  2.34712E+00  5.93165E-02  1.65680E-01  5.74562E-04  1.22541E-01  3.61458E-02  2.79310E-02  2.71726E-01 -3.16891E-03  4.33431E-03  7.53845E-02  1.73707E-01   -2309.18674711279
          483  1.61290E+00  1.61729E+00  8.61337E-01  2.37525E+00  5.68863E-02  2.21672E-01  1.89976E-02  1.14669E-01  4.43346E-02  3.18934E-02  2.00129E-01 -2.96242E-02  1.62008E-02  3.25762E-02  1.71448E-01   -2328.55914703964
          484  1.70800E+00  1.57390E+00  8.30578E-01  2.40650E+00  5.35636E-02  1.93923E-01  2.52639E-02  1.20024E-01  5.06210E-02  3.96562E-02  2.24921E-01  2.27935E-02  1.54967E-02  6.07859E-02  1.46274E-01   -2370.93820017463
          485  1.63945E+00  1.59633E+00  7.70612E-01  2.34934E+00  5.41315E-02  1.59684E-01  3.22711E-02  1.39331E-01  4.46469E-02  5.56237E-02  1.84997E-01 -1.26485E-02  4.50836E-02  6.35339E-02  1.56083E-01   -2358.34690008910
          486  1.65603E+00  1.55100E+00  7.48226E-01  2.30993E+00  5.70213E-02  1.56944E-01  2.84227E-02  1.26579E-01  3.58243E-02  4.88103E-02  1.98768E-01 -4.05661E-02  3.20079E-02  2.38935E-02  1.99321E-01   -2295.08464333847
          487  1.58833E+00  1.62417E+00  7.15519E-01  2.40916E+00  5.47772E-02  1.31692E-01  6.18136E-03  1.25907E-01 -7.56368E-03  2.23853E-02  2.29968E-01 -1.91545E-02 -1.30266E-02  7.98810E-02  1.90503E-01   -2335.65374582543
          488  1.59932E+00  1.58497E+00  8.35974E-01  2.42091E+00  6.15696E-02  2.06743E-01  1.56966E-02  1.11529E-01 -1.68684E-03 -2.61315E-04  1.91955E-01 -1.33938E-02 -2.94886E-02  4.46882E-02  1.26642E-01   -2313.52679567207
          489  1.64570E+00  1.60681E+00  8.06216E-01  2.40207E+00  6.40568E-02  2.06497E-01  2.44153E-02  1.09866E-01  3.13868E-02  3.90388E-02  2.25164E-01 -1.95767E-02 -5.65689E-03  1.95931E-02  1.20728E-01   -2327.34290859173
          490  1.62908E+00  1.51905E+00  7.42426E-01  2.45209E+00  6.56575E-02  1.31997E-01  2.38515E-02  1.65306E-01  1.31151E-02  3.75330E-02  1.98164E-01 -4.37143E-02 -8.49030E-03  8.44439E-03  9.62165E-02   -2307.64887286864
          491  1.64169E+00  1.53655E+00  8.37712E-01  2.42540E+00  6.91292E-02  1.76553E-01 -1.01128E-02  1.36301E-01  2.24072E-02  2.15618E-02  1.92281E-01 -2.88872E-02  1.24651E-02 -1.54073E-02  1.08863E-01   -2337.71541275456
          492  1.57897E+00  1.51683E+00  8.01666E-01  2.36412E+00  6.32096E-02  2.17095E-01  5.09736E-03  1.27491E-01 -3.14595E-03  4.71361E-02  1.59364E-01 -4.59473E-02  2.65602E-02  2.48448E-02  1.10254E-01   -2335.11641135841
          493  1.62816E+00  1.52099E+00  8.24451E-01  2.37626E+00  6.61632E-02  1.92868E-01  2.57371E-02  1.29610E-01  1.37719E-02  2.70423E-02  1.59434E-01 -3.86345E-02  1.79204E-02  2.40985E-02  1.45040E-01   -2264.00679245337
          494  1.59150E+00  1.49279E+00  8.10955E-01  2.40648E+00  8.08188E-02  1.65222E-01  1.31878E-02  1.41213E-01 -1.51303E-02  5.20694E-02  2.00937E-01 -2.73576E-02  3.77051E-03  3.32577E-02  1.49962E-01   -2237.81225153043
          495  1.63278E+00  1.50926E+00  7.70772E-01  2.31132E+00  6.07140E-02  1.90497E-01  2.34431E-02  1.39616E-01  1.29368E-02  3.46035E-02  2.04287E-01 -5.04959E-02  2.89421E-02  2.73957E-02  2.07892E-01   -2241.90227021531
          496  1.71577E+00  1.57343E+00  7.75272E-01  2.38443E+00  6.66560E-02  1.64671E-01  6.86432E-03  1.82803E-01  9.64313E-03  7.86089E-02  2.70310E-01  1.16347E-05  2.21734E-02  3.81492E-02  1.23935E-01   -2270.90714331374
          497  1.66625E+00  1.52201E+00  8.46599E-01  2.40409E+00  6.26912E-02  1.57881E-01  4.70962E-02  2.24992E-01  3.77903E-02  2.17159E-02  2.57319E-01  2.05495E-02  2.21952E-02  5.52474E-02  1.34324E-01   -2295.82233897158
          498  1.64045E+00  1.59958E+00  9.19114E-01  2.48577E+00  5.51586E-02  2.20613E-01  3.17110E-02  1.85972E-01  2.93945E-03  3.91399E-02  2.98730E-01 -1.00691E-02  1.58004E-02  5.06010E-02  1.66877E-01   -2283.40839654154
          499  1.55299E+00  1.56914E+00  8.86295E-01  2.49973E+00  5.95297E-02  1.47611E-01  4.42590E-02  1.91660E-01  4.68081E-03  4.41690E-02  2.44438E-01  1.19014E-02  5.07730E-02  2.92972E-02  1.41557E-01   -2288.80908838568
          500  1.72503E+00  1.53955E+00  8.12908E-01  2.34076E+00  6.15055E-02  1.81325E-01  5.54775E-02  1.69226E-01  5.82156E-02  6.83541E-02  2.98960E-01  2.41987E-02  4.25878E-02  3.91134E-02  1.84583E-01   -2213.88198254150
          501  1.63359E+00  1.55887E+00  9.84332E-01  2.42878E+00  6.33153E-02  1.91217E-01  5.73302E-02  1.97431E-01  1.19187E-02  7.54456E-02  2.47281E-01 -1.60272E-02  3.95927E-02  5.38846E-02  1.62166E-01   -2290.11154665292
          502  1.62832E+00  1.49890E+00  9.90489E-01  2.42356E+00  5.92220E-02  1.85991E-01  1.68558E-02  1.27080E-01  6.94862E-03  4.43994E-02  2.59665E-01 -8.44993E-03  1.09852E-02  6.64274E-02  1.90947E-01   -2277.10682767113
          503  1.63867E+00  1.55252E+00  9.05013E-01  2.44549E+00  6.28795E-02  1.98370E-01  3.84487E-02  1.52040E-01 -1.04044E-02  1.30876E-02  2.22101E-01 -4.28670E-02  2.51118E-02  1.62117E-02  1.43028E-01   -2262.94813781302
          504  1.58665E+00  1.47113E+00  9.37153E-01  2.38904E+00  6.37959E-02  1.87938E-01  1.55287E-02  1.43522E-01 -4.16457E-02  2.88990E-02  1.88502E-01 -6.00183E-02  7.27848E-02  2.52845E-02  2.15007E-01   -2261.82151021808
          505  1.70846E+00  1.47961E+00  7.47230E-01  2.32216E+00  6.88621E-02  1.50658E-01  1.72408E-02  1.30559E-01 -1.95569E-02  1.28505E-02  2.56471E-01 -2.16232E-02  2.77571E-02 -2.61293E-03  9.50447E-02   -2264.51422554935
          506  1.65420E+00  1.42704E+00  8.24678E-01  2.35050E+00  6.87751E-02  1.29434E-01  1.66112E-02  1.29683E-01 -1.76489E-03 -1.40890E-02  1.95562E-01 -2.77721E-02  7.24627E-03  7.87592E-03  8.96091E-02   -2278.76723836245
          507  1.59894E+00  1.45194E+00  7.89806E-01  2.31275E+00  6.83660E-02  2.01199E-01  3.39913E-04  1.29854E-01 -1.47995E-02 -3.60820E-02  2.51361E-01 -4.35489E-02  7.51834E-03 -1.50993E-02  9.91285E-02   -2320.24383180267
          508  1.68676E+00  1.46909E+00  8.11435E-01  2.29520E+00  6.78898E-02  1.78991E-01 -2.44120E-02  1.23143E-01 -5.73590E-03 -2.26685E-02  2.25832E-01 -4.01430E-02  2.35169E-02 -5.56616E-03  8.90653E-02   -2261.95846152844
          509  1.62848E+00  1.50711E+00  7.59134E-01  2.37270E+00  6.32862E-02  2.06822E-01 -1.97251E-03  1.75070E-01 -3.66284E-03 -3.98853E-02  2.11023E-01 -2.66940E-02  3.12993E-02 -5.83249E-03  1.03669E-01   -2243.63015081226
          510  1.62685E+00  1.59564E+00  7.87349E-01  2.38719E+00  6.82017E-02  1.43625E-01  8.69234E-04  1.90227E-01 -5.29914E-03 -8.37758E-03  1.64471E-01 -2.25777E-02  2.44895E-02  3.58030E-03  9.73617E-02   -2283.55278874170
          511  1.59595E+00  1.54466E+00  7.62693E-01  2.32888E+00  6.93507E-02  1.42686E-01 -1.14220E-03  1.92902E-01  4.60049E-03 -6.01612E-02  1.35380E-01 -3.78843E-02  1.74676E-02 -8.49229E-03  1.05779E-01   -2169.22423831127
          512  1.64673E+00  1.53349E+00  7.81125E-01  2.39119E+00  6.54021E-02  1.49128E-01 -1.47089E-02  2.34479E-01 -1.64650E-02 -6.02809E-02  1.89618E-01 -2.17141E-02  2.44218E-02  2.22050E-02  9.88572E-02   -2242.94503918019
          513  1.68135E+00  1.54680E+00  8.01293E-01  2.45723E+00  7.47130E-02  1.50241E-01 -1.47481E-02  1.54727E-01  5.38759E-02 -2.17153E-02  2.57574E-01 -7.35205E-03  2.16002E-02  1.33969E-02  1.00281E-01   -2240.45520785822
          514  1.63389E+00  1.59984E+00  7.73939E-01  2.42319E+00  7.17829E-02  2.27980E-01 -3.62390E-02  1.33260E-01  5.46296E-02 -5.11031E-02  1.91076E-01 -7.57177E-03  2.78317E-02  6.58267E-03  1.10023E-01   -2239.27796089495
          515  1.59247E+00  1.56538E+00  8.24154E-01  2.35065E+00  6.05883E-02  1.54033E-01 -1.88011E-03  1.60370E-01  9.62664E-03 -5.51762E-02  1.58241E-01 -7.41895E-03  3.62523E-02 -2.79081E-02  1.18820E-01   -2338.07960629730
          516  1.65265E+00  1.58325E+00  7.25656E-01  2.38851E+00  5.98301E-02  1.64506E-01 -2.06437E-02  2.03762E-01  1.19758E-03 -3.46414E-02  1.58889E-01 -1.37625E-02  1.40392E-02 -1.12797E-02  9.37244E-02   -2284.59437552991
          517  1.61808E+00  1.52790E+00  7.20961E-01  2.43267E+00  6.67577E-02  1.95457E-01 -1.23508E-02  2.01223E-01  6.82577E-03 -5.11172E-02  1.45099E-01 -3.43771E-02 -1.07699E-02 -1.26120E-02  1.19405E-01   -2286.45221205302
          518  1.53784E+00  1.51821E+00  7.83253E-01  2.44076E+00  6.31434E-02  2.40071E-01 -1.76181E-02  1.57158E-01  6.35309E-02 -3.48908E-02  1.85112E-01 -3.86501E-02 -1.46146E-02 -4.41991E-02  1.10893E-01   -2293.39370208659
          519  1.64903E+00  1.53293E+00  7.68094E-01  2.38274E+00  6.00580E-02  2.04019E-01 -4.17418E-03  1.68305E-01  7.98869E-02 -2.60147E-02  1.82092E-01 -3.97505E-02 -1.75403E-02 -4.60684E-02  1.10887E-01   -2307.51637128988
          520  1.64145E+00  1.50691E+00  7.33943E-01  2.40957E+00  6.12554E-02  1.77255E-01  2.77799E-02  1.69523E-01  4.66812E-02 -1.65187E-02  1.33258E-01 -1.23688E-02 -2.20897E-02 -5.14381E-03  1.00128E-01   -2307.95384918420
          521  1.68633E+00  1.53929E+00  7.70616E-01  2.38943E+00  6.33958E-02  1.53350E-01  2.35752E-02  1.72499E-01  3.21797E-02 -1.07224E-02  1.85664E-01 -6.60331E-03 -3.56302E-03  1.49908E-02  9.23737E-02   -2276.51969810668
          522  1.66444E+00  1.51859E+00  7.16288E-01  2.37234E+00  6.26651E-02  1.54001E-01  2.91552E-02  2.45217E-01  6.30070E-02  3.42225E-02  1.92359E-01 -1.29555E-02 -2.41423E-02 -2.24640E-02  1.17820E-01   -2314.55850112934
          523  1.61130E+00  1.55650E+00  7.08027E-01  2.32800E+00  5.29753E-02  1.78479E-01  2.95209E-02  1.74722E-01  5.95454E-02  5.21514E-02  2.10551E-01 -2.10498E-02 -4.37152E-03 -1.71894E-03  8.12614E-02   -2337.67883935460
          524  1.59886E+00  1.53950E+00  7.13118E-01  2.33577E+00  5.91392E-02  1.62713E-01  2.72101E-03  1.42831E-01  8.09438E-03  4.76236E-03  1.55533E-01 -3.07416E-02  1.98184E-02 -7.68840E-03  1.20540E-01   -2364.77001526282
          525  1.69796E+00  1.57468E+00  8.18959E-01  2.32930E+00  5.26801E-02  1.86165E-01 -2.10473E-02  1.71987E-01 -8.16501E-03  3.78607E-02  1.60199E-01 -5.64071E-02  3.92328E-02 -9.60138E-03  1.49379E-01   -2358.04242116239
          526  1.62954E+00  1.56697E+00  7.65915E-01  2.37582E+00  5.53653E-02  1.40288E-01  2.33452E-02  1.92498E-01 -2.57185E-02  5.09156E-03  1.61914E-01 -2.11244E-02  4.43749E-03 -1.51290E-02  1.35387E-01   -2321.37215658858
          527  1.59995E+00  1.51364E+00  6.88257E-01  2.31545E+00  5.67650E-02  2.19028E-01  4.36090E-02  1.82654E-01  1.10186E-02  6.21445E-03  1.79230E-01 -1.25519E-02 -4.39830E-03  9.70690E-03  1.46502E-01   -2313.37171973971
          528  1.64632E+00  1.56132E+00  7.21743E-01  2.32522E+00  5.56903E-02  1.33657E-01  3.07859E-03  1.34256E-01  1.41991E-02 -4.35672E-03  1.44180E-01  1.75625E-03  1.60697E-02  3.33201E-03  1.29739E-01   -2346.13946487966
          529  1.66393E+00  1.52474E+00  7.62874E-01  2.30948E+00  5.02402E-02  1.58608E-01  4.12639E-03  1.51996E-01  1.10045E-02 -1.21051E-02  1.67450E-01 -2.18748E-02  3.91910E-02  3.11422E-03  1.61362E-01   -2365.63052647655
          530  1.60224E+00  1.51842E+00  6.42270E-01  2.28551E+00  5.57176E-02  1.78221E-01 -3.10184E-02  1.93775E-01  3.00252E-02  2.31429E-02  1.58606E-01 -1.46171E-02  2.13381E-02  2.36277E-02  1.49132E-01   -2346.45275353975
          531  1.58124E+00  1.52885E+00  6.51338E-01  2.26894E+00  5.22002E-02  1.62025E-01 -3.79784E-02  1.92012E-01  1.86747E-02 -4.53520E-03  1.49599E-01 -2.05404E-02  4.17444E-02 -3.31529E-03  1.36013E-01   -2358.88245397775
          532  1.53774E+00  1.51739E+00  6.96534E-01  2.20814E+00  5.15146E-02  2.07342E-01 -3.28915E-02  2.06244E-01 -1.27384E-02 -2.57311E-02  1.57824E-01 -5.05602E-02  6.50536E-02  4.55504E-03  2.03504E-01   -2314.25007525591
          533  1.56631E+00  1.46481E+00  7.30906E-01  2.31611E+00  5.43325E-02  1.56690E-01  4.93321E-05  1.94654E-01 -2.14162E-02 -1.39342E-02  2.09368E-01 -4.80890E-03  3.37813E-02  2.24053E-02  1.84107E-01   -2350.80902450406
          534  1.61998E+00  1.47412E+00  7.12627E-01  2.41455E+00  5.20703E-02  1.60495E-01  2.73880E-02  2.35970E-01 -7.91112E-03 -2.98991E-02  1.92385E-01 -1.28380E-02  3.07981E-02 -4.32403E-03  1.52262E-01   -2364.51423651615
          535  1.62365E+00  1.51094E+00  7.46988E-01  2.40771E+00  4.96185E-02  1.98072E-01 -2.57296E-04  2.36824E-01  3.14804E-02 -9.55358E-02  1.94849E-01  2.84513E-02  5.79134E-02  2.72121E-03  2.26551E-01   -2292.28022288035
          536  1.62098E+00  1.48213E+00  8.19966E-01  2.37947E+00  4.89231E-02  1.64963E-01  3.55747E-02  2.70063E-01  1.44936E-02 -5.05346E-02  1.93114E-01  1.76279E-02  9.34582E-02  3.11448E-02  2.18475E-01   -2305.71157647679
          537  1.63251E+00  1.53947E+00  7.44053E-01  2.37960E+00  5.23415E-02  1.88995E-01  1.02129E-02  2.04403E-01  1.83630E-03 -5.81579E-02  2.68289E-01 -1.09273E-02  3.52627E-02  2.40920E-02  1.96791E-01   -2326.10973627340
          538  1.55254E+00  1.61042E+00  7.24507E-01  2.38180E+00  4.81725E-02  3.10544E-01  8.88972E-03  2.15340E-01  6.24991E-02 -5.47130E-02  2.24523E-01  1.43893E-02  2.79222E-02  5.31613E-02  1.62005E-01   -2353.64755218544
          539  1.69863E+00  1.52547E+00  7.06220E-01  2.32015E+00  5.32496E-02  1.26475E-01  2.15376E-02  2.11362E-01  1.35432E-02 -5.42876E-02  1.44240E-01 -2.55822E-02  3.77620E-02  2.92167E-02  1.80481E-01   -2333.77593328822
          540  1.60426E+00  1.47652E+00  7.64622E-01  2.37010E+00  5.16039E-02  1.65266E-01  1.47375E-02  2.95498E-01 -4.13907E-02 -2.27140E-02  1.79885E-01 -4.24147E-02  6.05768E-02  4.66188E-02  1.87101E-01   -2306.94694230973
          541  1.59479E+00  1.57288E+00  7.39284E-01  2.34426E+00  5.06095E-02  1.58174E-01  1.33773E-02  2.91218E-01 -4.45641E-02 -8.75259E-02  1.84704E-01 -2.62202E-02  3.07232E-02  3.29536E-02  1.90692E-01   -2314.76889894009
          542  1.67623E+00  1.55396E+00  6.90048E-01  2.28477E+00  5.73829E-02  1.40580E-01 -6.22615E-03  2.59960E-01 -2.79390E-02  1.46830E-03  2.09819E-01 -5.11235E-02  4.96712E-02  3.66309E-02  2.02853E-01   -2286.78915695249
          543  1.58148E+00  1.52716E+00  6.88675E-01  2.21335E+00  5.86290E-02  1.38949E-01 -3.65991E-05  2.39819E-01 -5.47789E-02 -1.84735E-02  2.76431E-01 -5.43074E-02  1.82650E-02  7.49446E-02  1.70245E-01   -2271.52027339067
          544  1.62798E+00  1.50553E+00  6.61165E-01  2.16113E+00  5.73938E-02  1.41866E-01 -1.40063E-02  2.42593E-01 -2.35628E-02 -1.25542E-02  1.93626E-01 -1.71121E-02  1.41682E-02  2.14530E-03  1.50236E-01   -2260.19390752931
          545  1.55463E+00  1.50609E+00  7.15749E-01  2.29961E+00  5.69692E-02  1.76487E-01  1.59584E-02  2.12326E-01 -1.37479E-02  2.16412E-03  2.90841E-01 -2.23340E-02  2.33948E-02  5.51848E-02  1.58420E-01   -2246.04357059014
          546  1.60062E+00  1.56051E+00  6.62845E-01  2.23037E+00  6.15145E-02  1.35886E-01  1.00035E-02  2.87026E-01 -8.07740E-03 -5.33441E-02  2.60264E-01 -2.85990E-02  5.81294E-02  4.80414E-02  1.85826E-01   -2197.34641385011
          547  1.66402E+00  1.47947E+00  7.22593E-01  2.34373E+00  5.75491E-02  1.48992E-01  3.25376E-02  1.95568E-01 -1.78655E-02 -4.90429E-02  2.90655E-01 -3.57194E-02 -6.45478E-03  7.45616E-02  1.97357E-01   -2239.86724500624
          548  1.64383E+00  1.50039E+00  8.35030E-01  2.41987E+00  4.97459E-02  1.77876E-01  9.77192E-03  1.97530E-01  6.12262E-02 -3.64079E-02  2.83339E-01 -3.11239E-02  4.35265E-03  4.49301E-02  1.99204E-01   -2245.51262264918
          549  1.63720E+00  1.54345E+00  8.72933E-01  2.44328E+00  5.52504E-02  1.54511E-01  1.72529E-02  1.87394E-01  1.77314E-02 -2.59816E-02  2.83602E-01  1.99295E-02  4.99256E-02  2.80734E-02  2.07056E-01   -2260.72925622192
          550  1.69685E+00  1.50250E+00  8.58121E-01  2.50586E+00  5.96837E-02  2.02474E-01 -6.52177E-03  1.25394E-01  7.49112E-02 -3.24101E-02  2.74910E-01 -4.08268E-02  4.13663E-02 -9.39106E-04  2.44151E-01   -2278.08386338053
          551  1.68685E+00  1.59791E+00  7.86156E-01  2.47373E+00  5.93025E-02  1.37409E-01  1.34815E-02  1.32100E-01  3.36184E-02 -4.01456E-02  2.38277E-01 -1.05569E-02  4.98515E-02  2.17445E-02  2.15894E-01   -2285.15242219057
          552  1.61487E+00  1.53355E+00  7.66884E-01  2.41903E+00  5.51527E-02  2.02978E-01 -9.68758E-03  1.36392E-01  5.56157E-02 -2.52865E-02  3.03067E-01 -1.47457E-02  6.02466E-02  3.03588E-02  1.50881E-01   -2276.15568371043
          553  1.63290E+00  1.53260E+00  8.21770E-01  2.39350E+00  6.20555E-02  1.49932E-01 -1.98521E-02  1.53879E-01  2.25647E-02 -5.04236E-02  2.22781E-01 -1.47149E-03  3.83155E-02  2.83747E-02  1.74002E-01   -2248.62829100657
          554  1.67360E+00  1.50659E+00  8.73293E-01  2.44168E+00  6.59600E-02  1.31218E-01  1.74870E-02  1.94788E-01 -1.12340E-02 -1.07779E-01  2.69182E-01 -7.75588E-03  1.14426E-02  1.92460E-02  1.36853E-01   -2209.03194419623
          555  1.63723E+00  1.54783E+00  8.64569E-01  2.42434E+00  7.41255E-02  1.96246E-01  6.80269E-03  1.55397E-01  3.63337E-02 -2.26473E-02  1.92905E-01 -2.33482E-02  4.09224E-02 -2.48662E-02  1.71101E-01   -2192.21489195001
          556  1.62725E+00  1.58956E+00  9.56579E-01  2.36212E+00  8.36372E-02  2.37494E-01  3.13869E-02  1.01740E-01 -6.06238E-03 -1.40290E-02  1.83642E-01 -1.30783E-02  4.88599E-03  2.04595E-02  1.68305E-01   -2190.58375855210
          557  1.67015E+00  1.62285E+00  8.19743E-01  2.44808E+00  8.30366E-02  1.95627E-01  1.39025E-02  1.07737E-01  2.00355E-02 -1.03277E-02  1.71395E-01  2.02045E-02 -5.52988E-03 -3.42688E-02  1.76862E-01   -2238.71859430243
          558  1.65422E+00  1.63158E+00  8.03907E-01  2.46174E+00  7.32725E-02  1.80778E-01  3.15596E-02  8.06963E-02  1.51366E-02  1.13113E-02  1.42159E-01  1.24354E-02  9.14035E-03 -3.60933E-02  1.35310E-01   -2294.75430662192
          559  1.63907E+00  1.60376E+00  8.87860E-01  2.41929E+00  7.74122E-02  1.92153E-01  3.37323E-02  9.65317E-02  2.14527E-02  9.04528E-03  1.32067E-01 -3.26936E-03  6.13557E-03 -2.61004E-02  1.03271E-01   -2310.18024194099
