TABLE NO.     6: MCMC Bayesian Analysis: Goal Function=AVERAGE VALUE OF LIKELIHOOD FUNCTION: Problem=1 Subproblem=0 Superproblem1=0 Iteration1=0 Superproblem2=0 Iteration2=0
 ITERATION    THETA1       THETA2       THETA3       THETA4       THETA5       SIGMA(1,1)   OMEGA(1,1)   OMEGA(2,1)   OMEGA(2,2)   OMEGA(3,1)   OMEGA(3,2)   OMEGA(3,3)   MCMCOBJ
        -2973  3.07361E+00  2.99110E+01  1.16687E+01 -7.42431E-01  8.36062E-02  2.34036E-02  7.70866E-02  1.89956E-03  8.29647E-02  3.36849E-02  3.11289E-02  8.69355E-02    5784.39957029607
        -2972  3.10510E+00  2.99110E+01  1.16687E+01 -7.65314E-01  8.36062E-02  2.33220E-02  8.89272E-02  2.61520E-03  7.52027E-02  3.61487E-02  2.94152E-02  7.62419E-02    5814.40766568080
        -2971  3.10755E+00  3.02262E+01  1.16687E+01 -7.65314E-01  7.74310E-02  2.21490E-02  8.20189E-02  1.14676E-02  7.16523E-02  3.84922E-02  3.27593E-02  8.85364E-02    5773.94616255762
        -2970  3.08776E+00  3.02262E+01  1.16687E+01 -7.65314E-01  7.74310E-02  2.17769E-02  1.00345E-01  1.62830E-02  7.29950E-02  5.26880E-02  3.26509E-02  9.29226E-02    5721.85830456505
        -2969  3.02927E+00  2.99006E+01  1.14251E+01 -8.45095E-01  8.18302E-02  2.24808E-02  8.28309E-02  1.40010E-02  7.38679E-02  3.08901E-02  2.87488E-02  8.67940E-02    5859.22435071596
        -2968  2.98015E+00  3.00481E+01  1.12301E+01 -7.78114E-01  8.60474E-02  2.31836E-02  9.21120E-02 -9.95352E-04  6.70761E-02  3.37101E-02  2.24415E-02  9.11432E-02    5765.02278480357
        -2967  2.98015E+00  3.00481E+01  1.12301E+01 -7.87358E-01  8.60474E-02  2.26308E-02  1.00265E-01 -1.42737E-04  7.33772E-02  3.02255E-02  2.90548E-02  8.58507E-02    5879.69269323692
        -2966  2.98015E+00  3.00481E+01  1.12145E+01 -6.81935E-01  7.89667E-02  2.38387E-02  1.01239E-01  5.53672E-03  7.20003E-02  3.37560E-02  3.28202E-02  8.94126E-02    5889.19267368888
        -2965  3.14591E+00  3.00306E+01  1.15831E+01 -6.57733E-01  8.14156E-02  2.34545E-02  9.78168E-02  1.18671E-02  8.04151E-02  3.51338E-02  3.11001E-02  8.57202E-02    5808.29408415841
        -2964  3.14591E+00  3.00306E+01  1.15831E+01 -6.57733E-01  8.14156E-02  2.34348E-02  1.05885E-01  1.30280E-02  6.44478E-02  3.10125E-02  2.02082E-02  8.12600E-02    5887.72227463363
        -2963  3.09571E+00  3.06190E+01  1.14621E+01 -6.45773E-01  8.11247E-02  2.34273E-02  9.73229E-02  9.10236E-03  7.07450E-02  2.75726E-02  2.87227E-02  8.28910E-02    5841.62891632198
        -2962  3.03323E+00  3.01401E+01  1.13912E+01 -6.13930E-01  7.94962E-02  2.37908E-02  1.18835E-01  1.38072E-02  7.03037E-02  5.00888E-02  3.09382E-02  8.41313E-02    5850.92379738853
        -2961  3.03323E+00  2.89651E+01  1.13912E+01 -6.13930E-01  8.13343E-02  2.31650E-02  1.07191E-01  9.34969E-03  7.72322E-02  4.27917E-02  3.24933E-02  9.31432E-02    5783.03564741504
        -2960  3.05234E+00  2.96268E+01  1.15353E+01 -6.35790E-01  7.74367E-02  2.34434E-02  1.20176E-01  4.68580E-03  7.79532E-02  4.75335E-02  2.99187E-02  9.07916E-02    5924.47970938224
        -2959  3.05234E+00  2.96268E+01  1.15353E+01 -6.35790E-01  7.93571E-02  2.40006E-02  9.22248E-02  7.13075E-04  6.75240E-02  3.50794E-02  2.85254E-02  8.33587E-02    5806.21032856614
        -2958  3.02070E+00  2.98359E+01  1.15353E+01 -7.40165E-01  7.84557E-02  2.45497E-02  1.00293E-01  1.20850E-03  6.47963E-02  3.94941E-02  2.42233E-02  8.54394E-02    5892.66980348911
        -2957  3.17373E+00  3.00375E+01  1.15296E+01 -7.87489E-01  7.97693E-02  2.26748E-02  9.49847E-02 -1.53626E-03  6.91773E-02  3.41311E-02  2.65538E-02  8.21427E-02    5789.22142921483
